Column A,Column B
354233,243069
184937,740894
67517,601554
702337,592159
789090,778090
503667,626555
919432,162437
413706,914758
650383,132595
715777,657560
919011,834775
787371,551585
726511,230205
692090,176913
791901,966226
548179,318156
370800,795002
512373,547976
692199,526476
887200,629858
386739,323679
463590,39096
449135,193729
812244,395502
813377,69649
246801,545875
439015,800769
598407,267576
48975,138284
423737,564183
954673,68303
26349,923302
971901,838725
348998,708342
15723,249375
773126,969268
425484,527232
447992,736261
870106,375471
291409,558699
637403,568184
641777,651828
750082,776710
97425,842252
154253,888636
69799,12733
784543,50088
954445,456809
77930,10547
942795,773086
503902,65193
210805,341578
988033,238706
954562,377029
36586,712749
796686,623311
826907,879318
555460,624979
185942,537967
640477,440767
845121,263912
80575,809510
121560,838843
273459,591133
593354,407061
93813,205041
947663,459274
780428,281178
613456,176185
175309,655544
421873,63737
847116,842388
73224,527088
133306,474193
954475,682282
224448,133857
530024,356542
988169,169360
846806,885893
502465,316735
918725,219785
224960,352104
11528,216284
395814,327655
228441,841261
996968,844769
957700,788795
606649,481379
358887,861604
992772,937161
463647,33234
848733,698787
107286,696579
62623,641575
776636,318699
543921,930762
422024,495224
401252,365186
124881,816719
96351,554630
861197,311128
253832,827714
455209,96834
61679,561834
944981,489910
888832,69801
64739,757751
44788,750759
194872,850106
636261,313759
138342,724546
860465,808087
818966,652729
572190,757670
444618,513989
767512,836038
530073,678218
248886,940736
438015,387634
564161,121585
907307,56977
301202,134347
237330,969613
91978,6183
349364,872269
928517,300727
981439,22246
223032,191432
170439,4442
711195,654604
355523,120538
391250,953858
115259,158468
418269,260069
453194,213805
2900,143125
56735,536688
795843,321312
780716,177632
64918,824926
835164,114603
636678,514424
448507,579165
900129,927473
888442,608816
808360,390601
203617,352077
815757,330346
486465,256643
945883,566933
917770,80719
888414,781875
644068,904059
858261,233607
540464,380522
469331,575398
506202,434847
727775,693576
970889,853643
182587,436793
49922,926336
929988,317688
205884,883517
982707,5193
482349,968897
684283,81167
966768,362831
594457,183839
188218,683468
213493,193338
248259,207492
552314,230530
93665,803555
174780,425266
597149,843389
117179,778711
525235,662039
859047,380484
103098,308490
795384,48787
310340,380657
486310,660477
902048,616943
872456,528931
182223,919046
739914,849625
549938,237977
128096,942466
146206,921866
723528,862932
403283,825981
553677,354776
302694,937410
204226,749254
772467,622056
372226,388185
562319,879437
534428,535113
241867,45910
265010,589695
710214,563469
920008,757910
587346,805888
412319,795478
213040,647316
986456,379527
589098,345113
960651,759892
59625,548760
837803,481627
512433,361970
262628,341512
438941,632246
941182,46463
866894,506963
437842,926850
506609,742572
94233,831891
44514,448458
902581,473154
180918,410549
194246,597661
715881,519124
215081,366891
811682,883697
438708,625158
623523,60177
825381,471025
62270,690533
996451,422640
83723,660338
879672,427573
503862,842431
793691,485845
135567,117552
87372,142820
511219,660214
766042,875531
84189,215439
138465,846692
526016,854341
314111,124115
975752,466428
346266,518115
610751,292167
4582,627177
263109,936358
957985,282153
118283,928871
220233,759012
43136,697285
862450,885512
225654,50972
835880,608371
51090,467933
198905,869536
709411,896924
538948,142804
946791,306810
845457,915700
960841,281878
180027,825292
242581,156458
193709,467591
583007,353017
220523,919762
975004,315736
84933,575375
458258,907595
631066,363651
949004,170754
376611,605917
710441,477610
362585,859262
523813,869993
549076,360848
969975,129226
441200,43261
493992,455738
763905,739622
752101,545060
89318,520119
471823,217076
338354,899901
22988,736588
897732,978275
488857,735079
493800,657910
744073,161269
120089,977354
456040,285508
553536,881247
166265,763720
393238,690388
622205,151573
833818,609898
726981,782309
997977,310824
599931,632612
393911,391640
811133,456706
525654,548499
933327,498244
12228,411078
445710,830073
438529,602526
835298,872031
465926,557174
2155,719459
663773,819051
596975,633915
622899,743423
535290,607926
871464,286229
34754,376239
389139,648637
313028,511305
605264,290192
994399,238707
132405,372682
135296,961315
625694,67133
799618,760531
50850,645671
669598,397168
961192,138432
670593,648228
777192,785648
515583,383352
328939,861476
78918,793829
357811,602133
912811,873825
171904,830341
536261,903904
785377,26552
615443,102051
347560,347307
500054,497433
404516,352561
278478,371009
415787,50121
290415,18481
966019,668592
247277,603500
547957,398059
939476,562024
250061,441757
283247,323635
488504,304327
593058,78813
988926,591494
305954,917681
231732,590250
143186,856270
917621,476269
637476,812188
490051,840668
706592,870220
757106,921934
612736,865923
13005,104534
608637,950711
852615,287007
994406,666375
285703,34495
964683,76744
167733,939649
69072,352595
710371,875534
376871,684418
144114,293251
505375,854160
252221,833105
720524,961283
986547,174150
352119,699684
514134,762817
508429,280811
941905,134576
655733,673498
155246,278255
940748,683199
635717,970876
681637,743023
1659,661243
212225,794832
327880,223949
952225,405684
545808,124653
786973,696606
18580,462732
285614,805901
557782,863795
966357,909406
473612,135253
936042,659745
894355,400295
499023,750212
258140,716516
530227,141439
621428,916507
201078,179922
216026,232019
901335,421903
350438,880809
549266,524745
50338,1018
11702,888701
127024,960515
36637,868656
750845,929363
125215,785528
727617,709476
587671,377773
209608,534366
127144,623444
440764,517341
173218,647064
796457,323600
419713,744496
301744,817439
839634,559487
154981,899244
266809,987530
29261,200001
904349,123729
230810,794823
32165,545301
745721,626704
189917,831208
107114,824851
122161,564685
703716,266430
543077,271242
414357,168431
725589,684167
828508,178733
165320,402010
569520,864321
754532,226194
584762,814114
870966,485399
115055,286760
478114,3520
568305,394940
849772,166140
392288,321639
548827,717115
688329,797085
598979,358872
910276,764066
494112,992484
334615,332714
616574,491364
224760,121236
18127,621520
356020,771896
844820,218107
280924,292543
755167,40344
995728,604043
187299,7298
860536,571650
269626,661303
159169,443522
358312,387038
212374,765742
203136,848517
739005,837690
887343,517686
416392,290094
171746,303018
575277,387993
635687,152185
745875,368735
130480,897213
809387,533939
350346,636168
436736,652492
165612,283095
872478,440050
79240,55696
901457,384830
908467,74137
34742,755938
399035,574109
121108,428065
658044,875544
729272,898245
674845,642753
531413,801717
964083,665541
406224,498132
112138,137694
772133,583314
871436,213338
25529,50505
225229,477184
752226,149102
402919,424915
967,975598
28259,102356
47302,54090
660990,790475
914244,957466
472506,222710
24425,101302
92659,737537
690681,417440
725162,32623
270124,530376
464206,435438
793452,490634
975328,814436
482358,700471
237864,967790
827956,717246
556916,915077
992559,974193
361293,73403
294125,506065
501873,934469
8672,360131
184001,189660
942074,431510
246607,216246
627996,551578
783303,330911
489126,402952
764302,573979
362002,311248
720437,381654
658122,338876
410303,752326
74719,577449
222307,251165
483432,413658
525065,220529
56904,295542
557001,137611
257833,282435
531157,74825
897903,61364
573439,710123
327815,31408
271233,97811
893026,280885
791981,94663
893089,398102
710246,944406
901669,380604
96139,749907
600493,197860
885777,686604
326296,219269
19251,451155
75484,820422
262466,938078
625204,139605
835768,405978
570064,297999
165523,640463
217096,338092
208113,680584
307552,717339
811446,626950
505270,56483
575370,4126
890203,846994
171530,16334
76509,239191
725581,577529
491994,811311
771472,26744
17681,234853
951158,236955
561064,129120
575919,582421
293781,163124
407987,985232
355719,609210
467237,992340
851258,146527
622777,583786
605150,400537
367190,959795
220094,854700
278245,628821
417658,127721
123045,28213
355590,326321
35387,697989
886448,323966
205714,318278
683387,563656
652266,792619
999171,939347
68764,114747
666201,321974
957,455816
74216,987232
607848,585661
363388,675900
31801,222590
780971,768262
340252,682071
349938,532456
586040,881392
716090,932614
778383,902558
387388,230826
475365,236850
708938,520778
663219,302055
818374,703610
286738,719528
632583,967748
249416,696608
621851,272623
383302,606123
818186,374547
555849,736493
732311,370286
705815,392547
416944,243266
895204,955897
812269,372975
227304,253510
721206,921759
461969,196630
647743,777290
427446,67001
627001,613524
688314,255913
272178,667797
231624,302416
971075,391004
712241,945006
711685,223113
319934,899916
16691,873434
406156,187120
591962,188711
265810,777735
122262,633565
439896,80861
860728,683569
155680,151944
304888,994398
448904,720827
360009,647610
547573,512551
575271,272146
695541,7540
466160,588352
198817,877697
787073,76404
264993,200694
734297,978219
592182,349401
162312,835724
508274,838720
456237,911664
884862,963187
503971,538511
953698,479778
345330,789048
3735,362719
887028,915200
514149,664150
751182,538902
898150,82533
244313,921890
335366,7320
219167,341144
409586,649365
367066,343768
958291,643572
822159,771648
743022,487615
564150,187872
300910,539620
768,754302
334970,198926
39431,12457
708845,349754
748022,401894
612718,464851
552627,554069
712175,617949
965664,579575
103271,205247
772640,531583
681590,634165
496356,980191
927169,517785
183673,155949
683646,426928
6383,561343
278462,557836
878918,499150
931417,625087
660158,800099
379982,522610
934595,276342
354499,701216
421595,290087
943903,7648
367001,568691
465240,182684
362065,526720
142848,516985
554677,599000
459231,761169
95707,710486
469352,55992
297615,917111
292965,928033
712739,440948
345053,286693
754760,131827
703265,362068
479713,829992
695063,314668
606376,195045
56449,8998
578517,353150
568953,201620
521827,985344
569099,514291
803421,825951
179097,764011
774233,210996
66459,813230
170417,67862
100606,387329
368661,287705
76213,56035
761401,940907
233343,600680
733038,20768
926125,565824
384016,645539
485530,311921
643447,3078
634469,473734
820944,199466
864039,671781
259828,628424
13232,39835
781286,27852
545126,989205
80930,235165
15420,252211
913768,480863
608460,832466
671007,921173
688800,943498
623695,389005
638287,16602
819804,669339
958284,612101
294087,498567
99873,613425
439790,430108
847856,612498
783028,154583
985382,52376
182412,598970
482785,133026
397048,292885
882818,170835
191948,184396
852468,7786
747188,33707
799738,246487
457454,637356
802692,74943
519456,379637
700623,54089
5855,527323
715777,778564
65245,329754
118196,121595
110830,967527
419362,939861
300586,857599
764568,585115
615465,736713
396585,85374
403085,644191
396870,58679
702181,709921
729464,225383
108125,689199
380219,849920
327434,438781
570958,904759
34377,871449
778061,96948
388056,967442
826804,438360
359478,843956
47104,851581
526934,698985
212971,787557
197786,86515
132278,944554
793341,696678
524324,581257
106770,248492
536794,775513
136026,867157
600672,486616
117547,683076
10691,93173
368550,504744
16830,118635
978680,716394
454474,837251
778194,554087
313756,706357
763496,230055
149879,55502
118542,749525
798357,662990
480615,616813
780642,128365
128124,967568
247595,230775
501428,608104
184077,494002
207626,169646
855933,623702
176277,53351
38588,804348
557253,548399
298231,668015
588647,535133
463053,784823
976239,430247
209820,917038
54985,909564
299252,195657
362642,306669
5075,906169
963940,476634
328548,178892
274271,809349
570079,6255
17695,549840
732974,340992
604536,6274
589269,920684
620157,557182
327440,951548
33285,643231
896077,63096
210945,545735
716389,81154
186924,548330
689002,223697
304195,313864
430427,456453
572269,804553
739146,180549
864056,862471
814568,198997
298006,812220
358729,357199
156869,391455
792470,918852
857031,557298
443225,189598
524064,740813
931945,200588
164143,105249
910544,961882
356154,22504
909557,848206
667262,306487
667657,808018
619558,722712
716600,645812
790650,470899
261591,480960
531352,4765
560718,443175
359261,484749
166124,325248
191807,99
451091,406449
644877,123161
368771,190196
318342,563388
284900,737577
343218,194607
544642,242392
809407,808469
643083,270102
234313,124990
972073,813678
589037,697444
419865,567683
604467,647526
591688,855244
447892,664756
300392,253002
890810,286972
778073,185828
435948,695040
31689,210373
649029,414622
792457,792721
915491,228178
958856,586313
789765,415859
823853,826686
120351,725129
409983,102913
809485,603445
352453,65249
270049,541555
129244,670969
568802,49688
302439,731393
478796,94795
590255,5438
342846,736363
786496,893536
321234,646586
254502,237764
74528,762812
790886,414853
262435,643302
317660,629302
378626,970745
257666,609527
728794,881725
367949,727482
486023,533669
685353,180006
193739,433077
294801,365086
696588,714470
220467,93382
836419,758701
643951,528467
980074,23317
570451,131185
864865,46514
337173,586116
406690,378818
874918,112063
957932,811697
585245,24773
406015,39805
118136,886613
648739,307142
648886,264135
865080,385917
304591,681207
711647,629402
839522,719540
438507,745023
178276,129332
536264,534828
178682,714876
22958,603896
658671,292262
73071,983548
538810,306448
471878,107857
459123,896501
41378,72971
185360,192532
990123,228439
792383,522281
644182,66370
381062,451911
34041,485612
218361,124746
635688,78239
710010,299898
265389,222002
823104,844454
107536,783714
701686,996638
801964,24862
626332,6374
740842,3758
774890,363926
982428,298653
556592,9987
828513,195244
923091,705774
14464,963520
148706,526387
941993,366480
738874,661268
26791,731735
850909,413321
679806,284206
75759,329670
436965,605940
738849,270175
447196,330480
471310,335591
242503,544073
361413,821540
45250,650835
600492,706786
107554,956249
369933,74414
659623,144547
243261,116954
696019,558901
74886,115209
920157,259718
279259,818015
796078,569381
681458,978356
870131,571924
990319,314877
839551,77597
851611,584576
681254,369622
564381,698641
553067,719373
283319,376810
834013,581994
855041,109693
133239,991645
206484,432230
170490,867726
105184,134492
436803,189530
328395,579371
902334,394468
892514,918584
944320,28336
379315,995967
914218,369371
417243,186225
771728,682288
320790,673687
340070,598779
898713,567835
484813,821225
107030,515810
188000,261703
97054,363351
823205,200404
697550,542281
690888,980698
415326,575907
2457,58320
204702,86435
729901,609116
680274,626181
144404,781557
448641,772900
952058,281857
260673,264240
399634,236912
236325,783048
329013,27499
451437,245824
601706,550381
207303,314943
535216,150814
400317,439395
462302,809448
847172,291885
110059,249748
920156,325337
710195,373175
249821,908292
78394,233285
994718,522907
442107,980527
174020,730494
497577,928041
207063,480848
232472,308653
643414,151258
574338,1191
613665,409511
77001,765783
191173,543900
512417,295347
112540,527804
697516,603493
108645,638187
488107,695698
626726,770794
464980,277526
405408,645498
2802,866913
976423,856562
278063,478815
119055,402118
931604,170598
637592,70825
975834,444816
751745,293895
274383,622070
640679,52529
627510,787608
670193,979658
533063,466844
573863,976119
949313,880029
281269,499583
455141,653425
359484,247553
548371,609222
615031,216671
772483,114725
378286,68182
788244,789743
852529,713229
871833,931503
960967,361400
855286,118713
519541,174115
395026,707048
843684,421602
981764,719498
563074,493174
244843,569646
786173,756362
73043,501897
680497,287824
781551,789150
87806,397506
771712,525645
29185,37977
528467,753678
915763,18293
653836,432317
482834,493859
104971,157568
346083,971812
157201,102555
110743,26280
860272,421287
532839,852874
362471,713638
933399,71915
551029,683698
71106,503700
618344,212528
669730,998826
264574,726258
28432,937573
84946,59759
383206,474783
130270,533449
340428,163810
153509,357370
649069,6889
71276,895040
522974,256379
209315,119622
390711,418785
411111,133029
973099,209858
973214,856546
450206,627344
522212,310345
498560,71254
284521,936593
319531,833723
778771,47069
717228,20121
713457,553995
191750,269003
123293,713804
687079,265955
70980,989589
122080,800489
848984,503998
724940,856826
569273,191884
498544,856456
76390,593162
796507,870719
798822,164188
474793,120642
917287,880177
826606,423162
880676,995406
756174,262474
508341,806817
263617,765025
907128,954405
603166,843073
946377,846101
21866,769442
507237,716873
819665,842203
939318,958068
241220,805693
312876,410739
81195,412504
458281,813977
835279,123122
177584,569169
781036,909827
440136,763035
973890,809818
9040,251568
757863,419116
685987,653086
534076,88509
617370,784311
35429,931935
863606,880343
739452,521687
782687,698303
890367,142397
126212,28267
277171,276785
103178,147258
914279,394923
868725,145039
323296,113029
479847,310531
264913,8974
691233,954163
574821,89852
169020,600980
857278,513383
263942,593729
538899,518454
542194,904631
986867,484839
497471,847071
403315,519379
877691,271911
382715,759453
78545,656486
365037,543723
741378,703712
743391,186077
544018,563776
497079,252198
157358,471164
797557,977111
781247,96675
126065,330978
715984,453394
720290,329401
5293,397564
834349,582143
366092,572061
993888,7824
603903,193199
606553,19706
247640,102102
675016,288508
385192,766321
254267,420916
823852,259
566171,568357
657842,239892
50646,862678
734370,816419
818845,191311
243009,812731
983019,916037
964596,689613
295893,784605
436220,608509
883859,245099
610896,884263
553100,690704
466071,291726
29794,68286
809674,251773
14606,379716
860288,904996
762024,317061
35885,245320
944346,257297
760392,667667
551462,651767
619041,198550
795667,512592
979937,205829
649959,735053
790805,687559
998355,848576
887616,864593
956880,12193
804657,967680
568289,566719
562707,408493
585041,64367
308239,78550
88172,982292
276026,883249
235124,785328
948509,64321
970685,686769
190435,379673
142302,460267
725528,759159
368491,360902
828661,221089
10387,917166
258198,673931
62307,463673
67351,102607
520890,639953
543079,726969
718365,450204
495930,770017
212047,343026
56696,462797
283387,277151
314613,887193
719174,102338
10466,609480
549975,7330
467803,976477
731167,368432
249735,798886
806708,464387
221164,103200
844074,289559
403347,952226
759148,684033
219858,872014
69529,344082
8963,396253
746838,819873
384511,924768
207140,744000
733320,446934
162412,918435
698750,170783
277207,470328
998268,698631
449421,531474
65633,801473
981501,805673
400425,526967
725434,509529
737143,540863
782515,4792
6350,605136
153624,109510
777351,542436
588502,536244
525688,762332
929374,154818
943047,370224
868660,449287
411122,198319
384598,435699
923345,211458
387067,221502
619310,769183
558810,695596
357938,120434
815361,626746
212449,706598
157971,150334
392622,914517
146463,230110
492316,252741
940041,632004
137867,543587
949449,83206
32317,688229
284070,825230
942621,731504
588747,310845
780832,856438
135035,535587
3190,974370
640213,932488
356315,648492
763537,879991
65735,400713
366626,3617
495027,741722
781595,829783
306578,56375
631328,226795
678109,32260
776483,457845
562136,594530
708124,146908
86228,698391
200927,637443
471251,229289
141213,773029
507334,270316
418980,441585
905505,677101
428659,177937
355331,598225
809572,429783
211982,590643
181178,334830
20240,144972
865281,979404
739092,121002
770261,275850
746034,582461
2793,977410
244997,574935
965407,540562
228411,948413
469210,588969
629499,808963
793853,502679
524912,452401
694336,743834
454128,571653
448169,891097
280225,653945
96719,173035
350144,949233
402832,385900
247964,441059
767391,127380
878923,630682
903723,647732
110666,323517
295754,132308
875159,786296
670902,26587
480172,2135
5039,611420
642335,140668
227298,997312
131381,738324
679951,4961
13603,152643
554335,872278
272510,855525
238077,358372
706648,426996
651585,455388
8239,350737
674988,287126
298123,589421
951738,123819
804483,405196
512950,725491
458166,727357
542137,419327
71318,946420
217839,616299
323524,569870
997426,761332
324137,485778
769738,866822
914258,228087
357370,265488
945986,164617
244648,744449
428386,152426
453091,685728
535640,598270
375755,510339
495915,42493
892323,623566
145179,970029
237123,91455
479,890737
38389,548877
583720,864207
311770,243765
481893,690704
973100,266718
981769,163624
511222,358264
977646,476248
692119,208653
428814,157974
423748,378302
905707,771010
612158,332724
927779,860649
73525,897482
905408,482877
663322,554011
20568,259969
852256,140040
865051,374580
145303,766951
922895,547712
745522,352057
345107,487645
902881,695176
608037,313928
842844,579519
266126,578210
56215,858500
852767,22164
158456,405854
461236,640799
352352,989833
590775,361566
10512,862395
70371,694199
878873,767843
836106,437082
357866,122355
745990,268241
912938,635686
314273,579811
86313,74102
222708,902171
960340,367229
356333,743277
90549,798541
924617,761945
37471,738125
920631,242427
98054,57606
404835,503378
41305,420344
562929,123485
796902,152566
647067,1308
725699,958407
206997,364427
229630,767183
337686,390298
723814,985616
881628,110617
199845,455806
549068,379498
257785,614303
316602,904381
700250,399942
466239,826324
391527,743927
708951,466306
603940,499488
589114,232430
317689,167920
276838,938250
487854,214814
885376,787440
900865,189358
873439,506890
308957,524519
979142,293463
761637,22618
347833,430106
308807,705077
843388,300104
844575,788729
696003,539728
18623,179867
78218,479732
553650,741316
966426,385069
369430,52911
769268,205794
100795,832419
581428,95818
160018,427211
516871,960963
808405,972317
557857,578192
252576,956734
940698,819465
631896,844484
621973,570359
892790,299182
85922,775538
258921,200977
7076,173647
455564,749371
703209,402652
596094,190812
974498,678693
866600,79075
714166,197843
796183,893289
725199,465201
123723,243876
326715,582789
282988,477511
864944,374631
784829,348707
23413,520175
323532,391867
900776,457225
97238,235530
999561,512892
634685,103682
388757,11040
839911,244915
400007,631851
252955,234481
654451,2379
561496,55544
746828,855772
507010,313130
332373,756823
39335,765357
261337,197049
771946,785941
576495,671864
595137,724156
627118,404090
400232,310224
750704,246185
231707,632983
25452,231014
413313,188133
923908,663656
747242,504835
306164,688299
421484,743562
536802,514220
790425,107644
689001,667433
135577,829313
401503,828278
210076,190339
206258,19594
601114,154924
661777,844244
811200,293723
569577,401743
999772,934629
899934,11598
611628,80332
322466,627047
592173,476053
558813,594232
463433,184891
775577,387712
204916,979380
469275,654243
405973,215479
117440,490495
496113,219164
213130,444335
250457,186944
876276,781818
921201,693518
596918,319388
866133,433096
541064,306488
688453,104655
471342,847780
327985,965509
110809,118146
272970,193035
869750,67168
69900,283906
413217,645620
33981,195178
571103,553747
625449,5933
565980,440041
214772,186070
181071,385756
750878,947285
946542,448663
866647,198839
320120,311097
139304,664827
708037,638372
439738,546527
221466,423286
352388,75179
849955,394065
400441,372562
704221,455302
106503,508288
124861,179883
134445,466626
64814,793105
72074,167005
885970,669085
411960,999867
662,74003
60253,818007
841593,59153
532089,142118
420471,308723
727521,302503
579960,673887
334664,806274
910075,765584
850004,529516
387490,263897
672964,413566
185369,402218
491722,837665
421363,793578
979560,626823
711650,83519
638949,947758
370889,231595
9098,356803
994407,608415
178709,672090
831670,11746
207071,452371
823808,722204
936635,142132
976024,974950
597080,351776
117659,947827
485667,886898
493317,420751
80135,397684
928786,289614
610729,869577
833209,579326
971484,940016
249321,242403
596306,263364
329395,730445
152405,170279
461988,816361
319296,504791
673665,176923
841583,698561
714603,95113
138419,870168
655037,118411
213863,553792
839715,1817
445310,236985
14027,617038
385785,265656
515305,358191
570945,920459
358189,725216
777737,801610
875752,204413
384936,704634
303703,208996
517203,567120
162186,693676
514651,896115
241014,738611
2818,189855
396641,736069
374013,580759
425806,886037
388239,942982
970075,924871
560997,860572
754157,113266
11042,605168
974281,568866
815559,617657
534984,876562
48,291611
721392,717181
903024,693469
411766,269204
727454,435121
493743,460784
110328,918798
424152,312150
692984,947948
837278,881795
554773,393948
45508,819727
35113,434832
336796,450603
931863,456398
28350,974895
925817,882204
904331,468986
862966,161046
62114,351327
50755,268277
404368,65070
431590,372257
572346,141008
675617,156229
689655,878559
995169,521972
713960,980603
337673,318418
76317,989566
978989,840581
665698,245352
226448,398978
640071,987268
878108,744792
708906,826380
500431,759354
516963,783672
721923,987462
927041,493708
91064,319095
503794,441386
545515,956936
656444,25064
387994,101404
879574,172922
106841,308162
368319,773350
215500,516021
815409,645856
172572,922660
765528,85416
179707,564025
159144,266697
586886,135418
726385,621849
96238,332338
658780,36078
297797,315364
542924,80904
541401,729531
211078,676831
541067,899094
946626,145214
804148,722228
426659,403
946113,47470
867424,127337
972964,277849
271728,601383
199367,622390
692551,710073
681048,33480
601914,181871
429742,978703
986538,804549
566685,309811
797,795213
583441,282534
303333,987195
785322,865457
138570,427322
187469,686898
968622,5607
283997,277219
401365,533202
832002,917141
461814,255096
75351,593610
794959,163322
913355,122507
667244,292578
870722,189258
277691,990979
503114,654449
425124,277539
221919,983855
427292,93397
616243,248141
394869,25116
586169,123277
204888,7774
765708,402149
975638,514711
551308,691851
817979,866590
917588,787260
997199,447646
725540,865137
678592,201874
962588,935842
78195,847367
991635,356716
61935,788452
9290,941327
93797,872283
50799,945491
738852,928073
244659,498080
479191,274463
892112,361717
520185,691511
934107,342517
951129,60748
546445,206873
698865,216240
208368,798063
575994,202155
558805,17236
191551,222635
398020,240620
185565,152089
542702,659416
100296,829228
608010,743368
936338,272489
316376,536913
223517,919573
374355,419804
166567,891806
887027,913310
214815,31243
507620,305772
894448,4371
961819,590388
734460,382128
543014,578817
609502,643755
153953,482447
621548,720292
562843,553885
376255,326853
802588,530902
659004,124998
425122,761686
413976,294717
972582,288561
825705,271434
799288,987957
616178,935192
478674,453770
423275,550761
238371,918124
312044,227227
521519,862042
573208,277673
871412,894273
294004,958367
458153,529466
496440,777828
37841,240023
400109,786771
694973,452613
143589,441778
233025,22693
255606,648487
135036,927400
568857,979031
600280,694506
112507,207590
343217,145474
749507,279967
41116,75171
844079,347823
940401,648390
333025,990908
816118,215464
160888,413626
108625,191462
377788,896915
682463,514756
154977,104748
537337,349524
856460,521444
844833,416595
752433,544234
385709,660155
168473,704383
699666,429908
884080,566930
